query_id,target_id_ranking
q_0f96c625b9cd,g_13da2f95f620 g_de34db7b1c7f g_da5aa13b1968 g_d648ead5c900 g_d889b7fc777b g_130a37598824 g_da1e5df4bc02 g_0b251252e181 g_0e83f250306f g_9053723af4c5 g_19b453348e54 g_87349afa09f2 g_db4a8dbe790b g_018969561d96 g_626dcdad119a g_aff5d510e717 g_efaf352ea572 g_cfe6c79baec5 g_6fa85c5d715e g_1307a0fd7c6b g_671004fc2775 g_858dc785cf2d g_7944a8a0c287 g_68971be96048 g_9196ee89c94d g_cdab0312f9ba g_687f1f38b2c3 g_8f1a5d85202c g_bf9a2a253bcd g_0543c42a8f32 g_50b48a5cc083 g_f9d76f64d617 g_31e014b88352 g_a6bf3a75923e g_1a5aac51a659 g_97e267815836 g_fd816175409d g_435a82857e20 g_e9acdf8b8ddc g_9f1cf15a2d25
q_7e0d043dbb36,g_0543c42a8f32 g_130a37598824 g_da1e5df4bc02 g_d648ead5c900 g_8f1a5d85202c g_db4a8dbe790b g_da5aa13b1968 g_858dc785cf2d g_9196ee89c94d g_018969561d96 g_d889b7fc777b g_626dcdad119a g_bf9a2a253bcd g_0b251252e181 g_671004fc2775 g_cdab0312f9ba g_efaf352ea572 g_687f1f38b2c3 g_de34db7b1c7f g_cfe6c79baec5 g_6fa85c5d715e g_aff5d510e717 g_19b453348e54 g_f9d76f64d617 g_7944a8a0c287 g_87349afa09f2 g_50b48a5cc083 g_31e014b88352 g_0e83f250306f g_9f1cf15a2d25 g_13da2f95f620 g_1a5aac51a659 g_9053723af4c5 g_a6bf3a75923e g_fd816175409d g_e9acdf8b8ddc g_1307a0fd7c6b g_68971be96048 g_435a82857e20 g_97e267815836
q_80236cba65d9,g_9196ee89c94d g_da1e5df4bc02 g_de34db7b1c7f g_d648ead5c900 g_19b453348e54 g_da5aa13b1968 g_626dcdad119a g_130a37598824 g_d889b7fc777b g_db4a8dbe790b g_aff5d510e717 g_0543c42a8f32 g_9053723af4c5 g_018969561d96 g_0e83f250306f g_bf9a2a253bcd g_858dc785cf2d g_8f1a5d85202c g_0b251252e181 g_87349afa09f2 g_13da2f95f620 g_671004fc2775 g_efaf352ea572 g_cfe6c79baec5 g_6fa85c5d715e g_7944a8a0c287 g_cdab0312f9ba g_f9d76f64d617 g_1307a0fd7c6b g_687f1f38b2c3 g_50b48a5cc083 g_68971be96048 g_31e014b88352 g_a6bf3a75923e g_9f1cf15a2d25 g_1a5aac51a659 g_e9acdf8b8ddc g_fd816175409d g_435a82857e20 g_97e267815836
q_3067b9f82c24,g_1307a0fd7c6b g_d648ead5c900 g_de34db7b1c7f g_db4a8dbe790b g_19b453348e54 g_da1e5df4bc02 g_aff5d510e717 g_da5aa13b1968 g_d889b7fc777b g_130a37598824 g_0b251252e181 g_7944a8a0c287 g_6fa85c5d715e g_626dcdad119a g_0e83f250306f g_13da2f95f620 g_9053723af4c5 g_efaf352ea572 g_9196ee89c94d g_87349afa09f2 g_50b48a5cc083 g_cfe6c79baec5 g_018969561d96 g_68971be96048 g_671004fc2775 g_bf9a2a253bcd g_f9d76f64d617 g_cdab0312f9ba g_0543c42a8f32 g_8f1a5d85202c g_97e267815836 g_687f1f38b2c3 g_858dc785cf2d g_31e014b88352 g_1a5aac51a659 g_a6bf3a75923e g_fd816175409d g_9f1cf15a2d25 g_e9acdf8b8ddc g_435a82857e20
q_976703e4e366,g_db4a8dbe790b g_da1e5df4bc02 g_130a37598824 g_d648ead5c900 g_da5aa13b1968 g_de34db7b1c7f g_d889b7fc777b g_9196ee89c94d g_aff5d510e717 g_0b251252e181 g_19b453348e54 g_626dcdad119a g_018969561d96 g_0543c42a8f32 g_13da2f95f620 g_8f1a5d85202c g_cfe6c79baec5 g_bf9a2a253bcd g_50b48a5cc083 g_0e83f250306f g_9053723af4c5 g_f9d76f64d617 g_efaf352ea572 g_7944a8a0c287 g_1307a0fd7c6b g_87349afa09f2 g_cdab0312f9ba g_6fa85c5d715e g_858dc785cf2d g_671004fc2775 g_687f1f38b2c3 g_435a82857e20 g_31e014b88352 g_a6bf3a75923e g_9f1cf15a2d25 g_1a5aac51a659 g_e9acdf8b8ddc g_68971be96048 g_fd816175409d g_97e267815836
q_c1176941773a,g_130a37598824 g_da1e5df4bc02 g_d648ead5c900 g_626dcdad119a g_9196ee89c94d g_db4a8dbe790b g_da5aa13b1968 g_0543c42a8f32 g_de34db7b1c7f g_8f1a5d85202c g_d889b7fc777b g_0b251252e181 g_018969561d96 g_671004fc2775 g_bf9a2a253bcd g_19b453348e54 g_aff5d510e717 g_cfe6c79baec5 g_cdab0312f9ba g_efaf352ea572 g_858dc785cf2d g_6fa85c5d715e g_87349afa09f2 g_687f1f38b2c3 g_13da2f95f620 g_0e83f250306f g_9053723af4c5 g_50b48a5cc083 g_7944a8a0c287 g_f9d76f64d617 g_31e014b88352 g_a6bf3a75923e g_1a5aac51a659 g_fd816175409d g_9f1cf15a2d25 g_435a82857e20 g_1307a0fd7c6b g_e9acdf8b8ddc g_68971be96048 g_97e267815836
q_01809f78e5b6,g_7944a8a0c287 g_0b251252e181 g_cfe6c79baec5 g_018969561d96 g_f9d76f64d617 g_cdab0312f9ba g_50b48a5cc083 g_aff5d510e717 g_fd816175409d g_e9acdf8b8ddc g_a6bf3a75923e g_6fa85c5d715e g_671004fc2775 g_31e014b88352 g_efaf352ea572 g_858dc785cf2d g_9f1cf15a2d25 g_1a5aac51a659 g_687f1f38b2c3 g_bf9a2a253bcd g_d889b7fc777b g_0e83f250306f g_de34db7b1c7f g_d648ead5c900 g_87349afa09f2 g_626dcdad119a g_da1e5df4bc02 g_97e267815836 g_130a37598824 g_9196ee89c94d g_9053723af4c5 g_0543c42a8f32 g_8f1a5d85202c g_19b453348e54 g_db4a8dbe790b g_13da2f95f620 g_da5aa13b1968 g_1307a0fd7c6b g_68971be96048 g_435a82857e20
q_258d9262bda5,g_018969561d96 g_0b251252e181 g_cfe6c79baec5 g_cdab0312f9ba g_671004fc2775 g_7944a8a0c287 g_f9d76f64d617 g_50b48a5cc083 g_fd816175409d g_aff5d510e717 g_d889b7fc777b g_e9acdf8b8ddc g_d648ead5c900 g_a6bf3a75923e g_6fa85c5d715e g_858dc785cf2d g_31e014b88352 g_de34db7b1c7f g_687f1f38b2c3 g_efaf352ea572 g_bf9a2a253bcd g_1a5aac51a659 g_130a37598824 g_0e83f250306f g_da1e5df4bc02 g_626dcdad119a g_9f1cf15a2d25 g_8f1a5d85202c g_0543c42a8f32 g_87349afa09f2 g_9196ee89c94d g_db4a8dbe790b g_9053723af4c5 g_97e267815836 g_13da2f95f620 g_da5aa13b1968 g_19b453348e54 g_1307a0fd7c6b g_68971be96048 g_435a82857e20
q_b6976749a658,g_8f1a5d85202c g_130a37598824 g_018969561d96 g_d648ead5c900 g_0543c42a8f32 g_da1e5df4bc02 g_671004fc2775 g_0b251252e181 g_9196ee89c94d g_cdab0312f9ba g_31e014b88352 g_bf9a2a253bcd g_626dcdad119a g_db4a8dbe790b g_d889b7fc777b g_858dc785cf2d g_7944a8a0c287 g_687f1f38b2c3 g_cfe6c79baec5 g_f9d76f64d617 g_efaf352ea572 g_6fa85c5d715e g_da5aa13b1968 g_50b48a5cc083 g_87349afa09f2 g_de34db7b1c7f g_aff5d510e717 g_e9acdf8b8ddc g_1a5aac51a659 g_fd816175409d g_a6bf3a75923e g_0e83f250306f g_13da2f95f620 g_19b453348e54 g_9053723af4c5 g_9f1cf15a2d25 g_435a82857e20 g_97e267815836 g_1307a0fd7c6b g_68971be96048
q_e193cffc131f,g_1a5aac51a659 g_cfe6c79baec5 g_7944a8a0c287 g_0b251252e181 g_671004fc2775 g_018969561d96 g_f9d76f64d617 g_efaf352ea572 g_50b48a5cc083 g_a6bf3a75923e g_858dc785cf2d g_aff5d510e717 g_cdab0312f9ba g_fd816175409d g_e9acdf8b8ddc g_6fa85c5d715e g_d889b7fc777b g_687f1f38b2c3 g_9f1cf15a2d25 g_de34db7b1c7f g_31e014b88352 g_0e83f250306f g_d648ead5c900 g_bf9a2a253bcd g_9053723af4c5 g_87349afa09f2 g_97e267815836 g_130a37598824 g_0543c42a8f32 g_8f1a5d85202c g_da1e5df4bc02 g_9196ee89c94d g_626dcdad119a g_da5aa13b1968 g_19b453348e54 g_db4a8dbe790b g_13da2f95f620 g_68971be96048 g_1307a0fd7c6b g_435a82857e20
